School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14871,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3124,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3250,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,979,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,949,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14400,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15224,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,123841,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,124500,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8569,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8542,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,62997,,,Chronically Absent Students,White,Female,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,62617,,,Chronically Absent Students,White,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,334,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,349,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,529,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,567,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,736,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,696,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13759,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13316,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7726,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7867,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2590,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2695,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,28507,,,Chronically Absent Students,White,Female,,,,
2022-2023,ARKANSAS,,,,,814,Chronic absenteeism--Students absent 10% or more school days,28718,,,Chronically Absent Students,White,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9876,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10063,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,White,Female,,,,
2022-2023,BUREAU OF INDIAN EDUCATION,,,,,814,Chronic absenteeism--Students absent 10% or more school days,0,,,Chronically Absent Students,White,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5195,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5417,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38399,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,43333,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4963,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5008,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,60959,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,64539,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,510825,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,536186,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,37989,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,40444,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,123670,,,Chronically Absent Students,White,Female,,,,
2022-2023,CALIFORNIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,135393,,,Chronically Absent Students,White,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1415,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1375,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2797,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2860,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,767,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,845,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7878,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8374,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,65416,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,67322,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6968,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7099,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,52589,,,Chronically Absent Students,White,Female,,,,
2022-2023,COLORADO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,55724,,,Chronically Absent Students,White,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,159,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,143,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1498,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1647,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,46,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,65,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7456,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7575,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19886,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,20197,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2111,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2131,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14986,,,Chronically Absent Students,White,Female,,,,
2022-2023,CONNECTICUT,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14992,,,Chronically Absent Students,White,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,69,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,98,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,394,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,474,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,30,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6043,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6395,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3606,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3599,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1027,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1028,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5611,,,Chronically Absent Students,White,Female,,,,
2022-2023,DELAWARE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5701,,,Chronically Absent Students,White,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,25,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,97,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,104,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14493,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14585,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2761,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3036,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,271,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,258,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,639,,,Chronically Absent Students,White,Female,,,,
2022-2023,DISTRICT OF COLUMBIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,571,,,Chronically Absent Students,White,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1201,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1333,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6687,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6911,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,816,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,866,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,115271,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,121900,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,181452,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,190903,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19016,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19511,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,138953,,,Chronically Absent Students,White,Female,,,,
2022-2023,FLORIDA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,144929,,,Chronically Absent Students,White,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,596,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,603,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4778,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5370,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,274,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,271,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,94619,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,97246,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,42500,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,43679,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10902,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10944,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,67072,,,Chronically Absent Students,White,Female,,,,
2022-2023,GEORGIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,67400,,,Chronically Absent Students,White,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,49,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,53,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3235,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3844,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10140,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10920,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,261,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,246,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5933,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6504,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4786,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5418,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2524,,,Chronically Absent Students,White,Female,,,,
2022-2023,HAWAII,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2772,,,Chronically Absent Students,White,Male,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,410,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,415,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,238,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,220,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,125,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,141,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,IDAHO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,320,,,Chronically Absent Students,Black or African American,Female,,,,
